id,timestamp,hour,day,month,datetime,source,destination,cab_type,name,price,distance,surge_multiplier,temperature,apparentTemperature,short_summary,precipIntensity,precipProbability,humidity,windSpeed,windGust,visibility,temperatureHigh,temperatureLow,dewPoint,pressure,windBearing,cloudCover,uvIndex,visibility.1,moonPhase,precipIntensityMax,temperatureMin,temperatureMax
ce075430-8f60-423f-8463-741e4a005b19,NA,2,14,12,NA,Theatre District,North End,Uber,Black SUV,28.5,1.57,1,31.54,31.54,Overcast,0,0,0.67,2.11,2.7,10,33.96,27.21,21.68,1035.3,173,1,0,10,0.21,1.00E-04,18.24,33.96
cd4cca45-2ba1-4e90-85cd-4bc04e83b0b9,NA,11,1,12,NA,Theatre District,Northeastern University,Uber,UberX,16.5,1.81,1,32.31,28.18,Mostly Cloudy,0,0,0.79,4.24,4.75,9.85,44.66,35.04,26.59,1021.74,320,0.67,0,9.85,0.82,0,31.71,44.66
821c534a-9016-449d-a1f4-6fc282242a94,1545112804,6,18,12,18/12/2018 06:00,North End,North Station,Lyft,Lux,13.5,1.1,1,33.71,25.35,Overcast,0.0017,0.11,0.65,11.05,20.2,5.86,32.75,20.66,23.09,,314,1,0,5.86,0.37,0.0028,23.23,38.1
4b39991e-97a4-486d-9ef6-ce8102a8049e,NA,4,18,12,NA,North End,Financial District,Uber,Black SUV,27.5,1.04,1,37.21,31.9,Overcast,0,0,0.69,6.79,11.31,9.732,41.42,23.89,28.04,1000.92,272,1,0,9.732,0.33,0.0178,34.07,41.42
6bb0592f-e304-4c40-846f-afdd56bc2e99,1544851804,5,15,12,15/12/2018 05:30,Financial District,Fenway,Uber,Taxi,NA,4.48,1,45.18,42.3,Overcast,0,0,0.93,5.38,8.31,8.432,54.47,38.94,43.18,1022.76,219,1,0,8.432,0.27,0.0074,39.54,54.47
e7ce971d-1457-414c-948e-4efd299f4351,NA,21,29,11,NA,Northeastern University,Theatre District,Uber,UberX,8.5,1.91,1,41.97,36.09,Partly Cloudy,0,0,0.55,10,15.17,9.784,,28.78,26.82,1008.97,310,0.31,0,9.784,0.75,0,35.12,44.76
dc1daffe-9b5c-44a5-af11-81e2ad945f83,NA,13,14,12,NA,Beacon Hill,Boston University,Lyft,Lyft,10.5,2.35,1.25,30.58,30.58,Clear,0,0,0.8,2.2,4.28,9.892,46.65,40.76,25.09,1034.26,217,0.03,0,9.892,0.24,0,27.18,46.65
c77b5bca-8c7f-404a-a3a9-5711b1cc88b2,NA,20,13,12,NA,Haymarket Square,North Station,Lyft,Lyft,7,0.52,1,33.15,30.6,Mostly Cloudy,0,0,0.57,3.02,3.02,9.956,33.83,27.27,19.51,1033.96,96,0.81,0,9.956,0.21,1.00E-04,,33.83
fec01fb9-577e-4f6c-958a-df664f692d99,NA,14,13,12,NA,South Station,Back Bay,Uber,WAV,10.5,3.53,1,25.55,21.85,Partly Cloudy,0,0,0.59,3.11,4.22,9.568,33.92,27.05,13.07,1033.93,344,0.24,1,9.568,0.21,1.00E-04,18.05,33.92
3f1d786d-abad-46c7-a958-914dc577ccc0,NA,0,30,11,NA,South Station,Financial District,Uber,WAV,6,0.54,1,38.6,32.72,Clear,0,0,0.62,8.3,11.14,9.933,45.12,28.54,26.77,1010.96,319,0.12,0,9.933,0.75,0,34.84,45.12
6df449d3-a566-43c6-b568-eb47af94cec9,NA,23,3,12,NA,South Station,Financial District,Lyft,Lyft XL,9,0.67,1,47.25,44.57,Clear,0,0,0.57,5.68,8.16,10,57.87,32.8,32.76,1001.76,267,0.04,0,10,0.89,7.00E-04,42.96,57.87
782695b7-71e4-4f52-9a2a-623bdbb7ba79,NA,21,28,11,NA,Beacon Hill,Northeastern University,Lyft,Lyft XL,16.5,2.5,1,41.35,35.62,Overcast,0,0,0.6,9.29,11.6,10,42.6,37.33,28.39,993.87,295,1,0,10,0.72,0,33.7,42.6
e873e363-d4fe-4a04-9a40-0cc6b94eb24a,NA,0,15,12,NA,Fenway,West End,Uber,Black SUV,30.5,2.72,1,41.6,39.31,Overcast,0,0,0.81,3.84,3.84,9.768,46.7,40.93,36.14,1027.4,183,0.89,0,9.768,0.24,0,26.51,46.7
